"","team","name","points","rebounds","assists","pie"
"1","celtics","avery_bradley",10.7,3,2.3,"6%"
"2","celtics","jae_crowder",10.3,5.6,2,"9%"
"3","celtics","rj_hunter",3.4,2.4,0.2,"5%"
"4","celtics","jonas_jerebko",4.1,3,0.9,"8%"
"5","celtics","amir_johnson",9.1,6,1.3,"12%"
"6","celtics","david_lee",7.3,5,1.6,"13%"
"7","celtics","jordan_mickey",2.5,1.5,0.5,"28%"
"8","celtics","kelly_olynyk",8.6,3.1,1.3,"13%"
"9","celtics","terry_rozier",1.8,1.6,0.8,"-8%"
"10","celtics","marcus_smart",9.8,2.2,3,"6%"
"11","celtics","jared_sullinger",11.3,8.5,2.1,"16%"
"12","celtics","isaiah_thomas",20.9,2,6.1,"14%"
"13","celtics","evan_turner",9.9,4.4,3.1,"11%"
"14","celtics","james_young",0,0,0,"0%"
"15","celtics","tyler_zeller",4.7,1.2,0.7,"9%"
"16","nets","andrea_bargnani",5.7,2.1,0.1,"3%"
"17","nets","bojan_bogdanovic",11.7,3,1.2,"8%"
"18","nets","markel_brown",4.2,0.8,1.4,"2%"
"19","nets","wayne_ellington",3.6,1.3,0.7,"5%"
"20","nets","rondae_hollis-jefferson",3.6,5.7,1.4,"10%"
"21","nets","jarrett_jack",14.7,4.6,7.3,"11%"
"22","nets","joe_johnson",10.8,4.9,4.4,"6%"
"23","nets","sergey_karasev",1.3,0.3,0,"25%"
"24","nets","shane_larkin",6,2.2,2.7,"11%"
"25","nets","brook_lopez",19.2,8.5,1.4,"12%"
"26","nets","thomas_robinson",3.6,4.8,0.3,"13%"
"27","nets","donald_sloan",1,1,0,"-3%"
"28","nets","thaddeus_young",14.6,7.7,1.7,"11%"
"29","rockets","trevor_ariza",10.6,5.1,2.1,"6%"
"30","rockets","patrick_beverley",4.7,3.1,1.1,"3%"
"31","rockets","corey_brewer",5.8,2.6,1.6,"2%"
"32","rockets","clint_capela",7.9,6.1,0.5,"15%"
"33","rockets","sam_dekker",0,0.3,0,"6%"
"34","rockets","james_harden",28.4,6.5,6.1,"14%"
"35","rockets","montrezl_harrell",5,2.2,0.2,"8%"
"36","rockets","dwight_howard",16.7,12.7,1.5,"16%"
"37","rockets","terrence_jones",13,5.4,0.8,"13%"
"38","rockets","ty_lawson",9.1,3.6,5.7,"6%"
"39","rockets","kj_mcdaniels",0.7,0.3,0,"-2%"
"40","rockets","donatas_motiejunas",12,5.9,1.8,"10%"
"41","rockets","jason_terry",4.6,0.5,0.9,"6%"
"42","rockets","",NA,NA,NA,"NA%"
"43","rockets","",NA,NA,NA,"NA%"
"44","knicks","arron_afflalo",13,4.5,2.5,"10%"
"45","knicks","lou_amundson",3.3,3.3,0.3,"12%"
"46","knicks","carmelo_anthony",23,6.6,3.7,"15%"
"47","knicks","jose_calderon",6.8,2.1,2.9,"6%"
"48","knicks","cleanthony_early",1.4,0.4,0.2,"14%"
"49","knicks","langston_galloway",10.9,4.5,2,"12%"
"50","knicks","jerian_grant",6.8,2.7,3.8,"10%"
"51","knicks","robin_lopez",9.2,6,1.9,"8%"
"52","knicks","kyle_oquinn",6.1,5.2,1.2,"12%"
"53","knicks","kristaps_porzingis",11.5,8.8,0.7,"10%"
"54","knicks","kevin_seraphin",1.7,1.2,0,"3%"
"55","knicks","lance_thomas",6.6,1.7,0.5,"6%"
"56","knicks","sasha_vujacic",5.4,4.3,2.3,"5%"
"57","knicks","derrick_williams",8.4,2.5,0.7,"13%"
"58","knicks","",NA,NA,NA,"NA%"
"59","grizzlies","jordan_adams",3.5,1,1.5,"9%"
"60","grizzlies","tony_allen",5.8,4.9,0.9,"5%"
"61","grizzlies","matt_barnes",6.3,3.5,0.9,"4%"
"62","grizzlies","vince_carter",3,1,0,"-2%"
"63","grizzlies","mario_chalmers",6.3,2.1,3,"10%"
"64","grizzlies","mike_conley",12.5,3,6.6,"10%"
"65","grizzlies","james_ennis",0,0,0.3,"0%"
"66","grizzlies","marc_gasol",16.3,6.1,3.4,"13%"
"67","grizzlies","jamychal_green",6.2,4.9,0.3,"10%"
"68","grizzlies","jeff_green",7.3,3.1,1.5,"5%"
"69","grizzlies","courtney_lee",9.2,3,1.4,"6%"
"70","grizzlies","zach_randolph",14.8,8.6,1.8,"13%"
"71","grizzlies","russ_smith",3,0.8,0.4,"3%"
"72","grizzlies","brandan_wright",6.6,3.4,0.6,"11%"
"73","sixers","isaiah_canaan",10.7,2.7,1.8,"8%"
"74","sixers","robert_covington",4,2,0,"-7%"
"75","sixers","jerami_grant",9.9,5.1,1.1,"8%"
"76","sixers","richaun_holmes",5.1,2.3,0.6,"6%"
"77","sixers","carl_landry",7.2,3.8,0.4,"10%"
"78","sixers","kendall_marshall",4.2,1,3.1,"9%"
"79","sixers","tj_mcconnell",5.9,4.6,7,"11%"
"80","sixers","nerlens_noel",11.5,9.1,1.6,"9%"
"81","sixers","jahlil_okafor",19.2,7.3,1.4,"9%"
"82","sixers","phil_pressey",4.3,1.4,3.4,"13%"
"83","sixers","jakarr_sampson",6.2,3.1,0.2,"6%"
"84","sixers","nik_stauskas",10.8,3.3,2.4,"6%"
"85","sixers","hollis_thompson",9.2,3.8,1.7,"6%"
"86","sixers","christian_wood",4.6,2.8,0.2,"13%"
"87","pelicans","alexis_ajinca",4.6,4.1,0.3,"9%"
"88","pelicans","",NA,NA,NA,"NA%"
"89","pelicans","",NA,NA,NA,"NA%"
"90","pelicans","",NA,NA,NA,"NA%"
"91","pelicans","",NA,NA,NA,"NA%"
"92","pelicans","",NA,NA,NA,"NA%"
"93","pelicans","",NA,NA,NA,"NA%"
"94","pelicans","",NA,NA,NA,"NA%"
"95","pelicans","",NA,NA,NA,"NA%"
"96","pelicans","",NA,NA,NA,"NA%"
"97","pelicans","",NA,NA,NA,"NA%"
"98","pelicans","",NA,NA,NA,"NA%"
"99","pelicans","",NA,NA,NA,"NA%"
"100","pelicans","",NA,NA,NA,"NA%"
"101","pelicans","",NA,NA,NA,"NA%"
"102","raptors","anthony_bennett",1.3,1.7,0,"2%"
"103","raptors","bismack_biyombo",5.3,6.7,0.2,"9%"
"104","raptors","bruno_caboclo",0,0,0,"-40%"
"105","raptors","demarre_carroll",12.1,4.9,1.6,"5%"
"106","raptors","demar_derozan",20.8,4.5,4.1,"14%"
"107","raptors","james_johnson",3.7,2.7,1.5,"7%"
"108","raptors","cory_joseph",8.8,2.5,3,"12%"
"109","raptors","kyle_lowry",19.4,5,6.6,"15%"
"110","raptors","lucas_nogueira",1.5,0,0,"75%"
"111","raptors","patrick_patterson",6.2,3.2,1,"6%"
"112","raptors","norman_powell",1.7,1.5,0.2,"0%"
"113","raptors","terrence_ross",6.3,1.9,0.7,"5%"
"114","raptors","luis_scola",9.2,6.6,1.1,"13%"
"115","raptors","jonas_valanciunas",15.1,10.3,0.4,"17%"
"116","raptors","delon_wright",0,1,0,"-26%"
"117","spurs","lamarcus_aldridge",16.2,9.9,2,"14%"
"118","spurs","kyle_anderson",2.4,2,0.7,"9%"
"119","spurs","matt_bonner",0.5,0.5,0,"-200%"
"120","spurs","rasual_butler",3.4,1.5,0.9,"12%"
"121","spurs","boris_diaw",5.7,2.4,3.7,"11%"
"122","spurs","tim_duncan",11.4,8.6,2.8,"14%"
"123","spurs","",NA,NA,NA,"NA%"
"124","spurs","",NA,NA,NA,"NA%"
"125","spurs","",NA,NA,NA,"NA%"
"126","spurs","",NA,NA,NA,"NA%"
"127","spurs","",NA,NA,NA,"NA%"
"128","spurs","",NA,NA,NA,"NA%"
"129","spurs","",NA,NA,NA,"NA%"
"130","spurs","",NA,NA,NA,"NA%"
"131","spurs","",NA,NA,NA,"NA%"
"132","bulls","cameron_bairstow",1,1.5,0,"-4%"
"133","bulls","aaron_brooks",8.1,2.6,2,"12%"
"134","bulls","jimmy_butler",19.4,5.3,3,"14%"
"135","bulls","mike_dunleavy",9.4,3.9,1.8,"8%"
"136","bulls","cristiano_felicio",0,0,1,"12%"
"137","bulls","pau_gasol",14.4,9.4,2,"16%"
"138","bulls","taj_gibson",6.6,4.8,1.2,"8%"
"139","bulls","kirk_hinrich",2.5,0,1,"12%"
"140","bulls","doug_mcdermott",10.8,2.1,0.7,"10%"
"141","bulls","nikola_mirotic",12.1,6.2,1,"10%"
"142","bulls","etwaun_moore",5.9,2.3,1,"8%"
"143","bulls","joakim_noah",2.5,8.5,3.9,"9%"
"144","bulls","bobby_portis",6,1,0.5,"11%"
"145","bulls","derrick_rose",12.6,3.1,6,"7%"
"146","bulls","tony_snell",7.2,3.6,0.9,"6%"
"147","nuggets","darrell_arthur",2.8,3.4,1.2,"3%"
"148","nuggets","will_barton",14.3,4.9,1.6,"16%"
"149","nuggets","wilson_chandler",13.9,6.1,1.7,"9%"
"150","nuggets","kenneth_faried",13.2,9.7,1,"14%"
"151","nuggets","randy_foye",5.7,1.4,1.6,"5%"
"152","nuggets","danilo_gallinari",17.8,4.6,1.8,"11%"
"153","nuggets","gary_harris",7.5,2.7,2,"7%"
"154","nuggets","jj_hickson",9,5.1,0.9,"10%"
"155","nuggets","nikola_jokic",6,4.2,0.8,"13%"
"156","nuggets","joffrey_lauvergne",10.7,6.3,2,"19%"
"157","nuggets","mike_miller",1.5,0.9,0.3,"20%"
"158","nuggets","emmanuel_mudiay",12,4.2,6.2,"5%"
"159","nuggets","jameer_nelson",7.9,2.4,4.5,"6%"
"160","nuggets","jusuf_nurkic",6.9,6.2,0.8,"9%"
"161","nuggets","kostas_papanikolaou",2.8,1.5,0.3,"12%"
"162","cavaliers","jared_cunningham",3.3,0.5,0.5,"2%"
"163","cavaliers","matthew_dellavedova",7.4,2.9,5.3,"11%"
"164","cavaliers","joe_harris",0.8,0.8,0.5,"7%"
"165","cavaliers","kyrie_irving",21.7,3.2,5.2,"13%"
"166","cavaliers","lebron_james",27,6.8,6.4,"20%"
"167","cavaliers","richard_jefferson",8.8,1.6,0.8,"5%"
"168","cavaliers","james_jones",2.3,0.9,0.2,"3%"
"169","cavaliers","sasha_kaun",0,0.5,0.5,"-5%"
"170","cavaliers","kevin_love",17.2,12.1,2.6,"15%"
"171","cavaliers","timofey_mozgov",8.3,4.9,0.5,"9%"
"172","cavaliers","iman_shumpert",8,3.6,2.2,"8%"
"173","cavaliers","jr_smith",6.3,4.1,2.1,"2%"
"174","cavaliers","",NA,NA,NA,"NA%"
"175","cavaliers","",NA,NA,NA,"NA%"
"176","cavaliers","",NA,NA,NA,"NA%"
"177","timberwolves","nemanja_bjelica",8.9,7,2.8,"11%"
"178","timberwolves","gorgui_dieng",6.1,4.8,0.3,"9%"
"179","timberwolves","kevin_garnett",2,4.8,1.1,"9%"
"180","timberwolves","tyus_jones",0.5,0.5,0.5,"-7%"
"181","timberwolves","zach_lavine",12.3,3.2,4.1,"11%"
"182","timberwolves","kevin_martin",15.4,2.1,1.9,"8%"
"183","timberwolves","andre_miller",4.2,1.4,2.2,"9%"
"184","timberwolves","shabazz_muhammad",8.2,2.7,0.3,"8%"
"185","timberwolves","adreian_payne",4.2,2.2,0.6,"12%"
"186","timberwolves","nikola_pekovic",12.5,7.5,0.9,"11%"
"187","timberwolves","tayshaun_prince",3.9,2.6,0.7,"6%"
"188","timberwolves","ricky_rubio",13,4.3,9,"19%"
"189","timberwolves","damjan_rudez",1,0.6,0.2,"6%"
"190","timberwolves","karl-anthony_towns",15.7,10.3,1.1,"17%"
"191","timberwolves","andrew_wiggins",20.5,3.4,2.1,"8%"
"192","pistons","joel_anthony",1.8,1.9,0.1,"8%"
"193","pistons","aron_baynes",3.6,2.9,0.4,"9%"
"194","pistons","steve_blake",3.1,1.4,3.1,"6%"
"195","pistons","reggie_bullock",0,0.5,0,"-9%"
"196","pistons","kentavious_caldwell-pope",14.3,3.4,1.4,"8%"
"197","pistons","spencer_dinwiddie",2,1,0,"-200%"
"198","pistons","andre_drummond",18.7,19.2,0.9,"18%"
"199","pistons","ersan_ilyasova",9.1,3.2,1.1,"6%"
"200","pistons","reggie_jackson",21.7,4.4,5.2,"16%"
"201","pistons","brandon_jennings",15.4,2.5,6.6,"13%"
"202","pistons","stanley_johnson",7.8,4.1,1.2,"6%"
"203","pistons","jodie_meeks",1,1,0,"-8%"
"204","pistons","marcus_morris",15.4,6.1,2.2,"9%"
"205","pistons","anthony_tolliver",4.3,3.1,0.9,"7%"
"206","thunder","steven_adams",6.1,5.2,0.8,"7%"
"207","thunder","dj_augustin",6.9,2,2.8,"11%"
"208","thunder","nick_collison",2,3,0.7,"5%"
"209","thunder","kevin_durant",28.1,7.3,3,"19%"
"210","thunder","serge_ibaka",13.2,8,1.6,"10%"
"211","thunder","enes_kanter",12.4,8.8,0.9,"14%"
"212","thunder","mitch_mcgary",2.3,1.8,0.5,"2%"
"213","thunder","anthony_morrow",3.9,0.8,0.1,"4%"
"214","thunder","steve_novak",3,1,0,"50%"
"215","thunder","cameron_payne",0.5,0,1,"2%"
"216","thunder","andre_roberson",5.1,2.8,0.7,"5%"
"217","thunder","kyle_singler",2.3,2.1,0,"-4%"
"218","thunder","dion_waiters",11,3.6,1.8,"10%"
"219","thunder","russell_westbrook",25.2,8.6,10.9,"20%"
"220","pacers","lavoy_allen",3.6,5.3,1.2,"5%"
"221","pacers","chase_budinger",4.3,1.9,1.5,"8%"
"222","pacers","monta_ellis",12.6,3.2,4.9,"9%"
"223","pacers","paul_george",24.3,8.8,4.6,"18%"
"224","pacers","george_hill",14,3.7,3.7,"9%"
"225","pacers","jordan_hill",8.7,8.1,1.3,"10%"
"226","pacers","solomon_hill",0,0,0,"0%"
"227","pacers","ian_mahinmi",7.8,5.6,0.9,"9%"
"228","pacers","cj_miles",11.9,2,1.1,"7%"
"229","pacers","",NA,NA,NA,"NA%"
"230","pacers","",NA,NA,NA,"NA%"
"231","pacers","",NA,NA,NA,"NA%"
"232","pacers","",NA,NA,NA,"NA%"
"233","pacers","",NA,NA,NA,"NA%"
"234","blazers","al-farouq_aminu",13,7.6,2,"10%"
"235","blazers","pat_connaughton",1.7,0.3,0,"15%"
"236","blazers","allen_crabbe",7.8,1.9,1.1,"7%"
"237","blazers","ed_davis",6.1,7.4,1.1,"13%"
"238","blazers","tim_frazier",0,0.5,0.3,"-3%"
"239","blazers","maurice_harkless",7.3,4.1,1.1,"9%"
"240","blazers","gerald_henderson",8.5,1.5,0,"9%"
"241","blazers","chris_kaman",4,2,1.5,"5%"
"242","blazers","meyers_leonard",8.4,4.4,1.7,"6%"
"243","blazers","damian_lillard",25.3,3.5,7.4,"14%"
"244","blazers","cj_mccollum",21.4,4,2.9,"11%"
"245","blazers","luis_montero",1.5,0.5,0,"19%"
"246","blazers","mason_plumlee",9.5,7.8,2.6,"10%"
"247","blazers","noah_vonleh",1.8,2.3,0.3,"0%"
"248","bucks","giannis_antetokounmpo",17.8,7.2,2.1,"12%"
"249","bucks","jerryd_bayless",12.6,2.3,3.8,"10%"
"250","bucks","michael_carter-williams",13.6,4.6,6.2,"12%"
"251","bucks","chris_copeland",4,0.8,0.5,"5%"
"252","bucks","tyler_ennis",5.2,1.4,1.4,"5%"
"253","bucks","john_henson",7,3.5,0.8,"9%"
"254","bucks","damien_inglis",1.6,1.6,0.4,"4%"
"255","bucks","oj_mayo",11.4,2.6,2.8,"9%"
"256","bucks","khris_middleton",13.9,3.6,2.5,"7%"
"257","bucks","greg_monroe",17.8,10.2,3.1,"18%"
"258","bucks","johnny_obryant",5.2,3.8,0.9,"6%"
"259","bucks","jabari_parker",7.2,3.6,0.8,"10%"
"260","bucks","miles_plumlee",2,1.7,0.2,"6%"
"261","bucks","greivis_vasquez",7.7,2.6,5,"7%"
"262","bucks","rashad_vaughn",2.5,0.7,0,"3%"
"263","jazz","trevor_booker",3.4,5.1,0.9,"2%"
"264","jazz","trey_burke",12.9,2.2,2.3,"13%"
"265","jazz","alec_burks",16,3.6,2.3,"12%"
"266","jazz","dante_exum",4.8,1.6,2.4,"4%"
"267","jazz","derrick_favors",15,9.1,1.3,"19%"
"268","jazz","rudy_gobert",8.7,11.9,2,"14%"
"269","jazz","gordon_hayward",16.7,4.4,3,"10%"
"270","jazz","rodney_hood",12.1,2.3,2.9,"8%"
"271","jazz","joe_ingles",5,2,1.1,"13%"
"272","jazz","",NA,NA,NA,"NA%"
"273","jazz","",NA,NA,NA,"NA%"
"274","jazz","",NA,NA,NA,"NA%"
"275","jazz","",NA,NA,NA,"NA%"
"276","jazz","",NA,NA,NA,"NA%"
"277","jazz","",NA,NA,NA,"NA%"
"278","hawks","kent_bazemore",11.6,4.5,2.5,"10%"
"279","hawks","",NA,NA,NA,"NA%"
"280","hawks","",NA,NA,NA,"NA%"
"281","hawks","",NA,NA,NA,"NA%"
"282","hawks","",NA,NA,NA,"NA%"
"283","hawks","",NA,NA,NA,"NA%"
"284","hawks","",NA,NA,NA,"NA%"
"285","hawks","",NA,NA,NA,"NA%"
"286","hawks","",NA,NA,NA,"NA%"
"287","hawks","",NA,NA,NA,"NA%"
"288","hawks","",NA,NA,NA,"NA%"
"289","hawks","",NA,NA,NA,"NA%"
"290","hawks","",NA,NA,NA,"NA%"
"291","hawks","",NA,NA,NA,"NA%"
"292","hawks","",NA,NA,NA,"NA%"
"293","warriors","leandro_barbosa",5.6,1.8,2,"7%"
"294","warriors","harrison_barnes",13.5,4.8,2.3,"10%"
"295","warriors","andrew_bogut",7.4,9,2.8,"19%"
"296","warriors","ian_clark",3.6,0.9,1,"13%"
"297","warriors","stephen_curry",33.4,5.1,5.6,"22%"
"298","warriors","festus_ezeli",8.7,5.7,1.2,"10%"
"299","warriors","draymond_green",12.3,7.9,7.1,"12%"
"300","warriors","andre_iguodala",9.2,4.5,4,"11%"
"301","warriors","shaun_livingston",4.7,1.7,2.2,"6%"
"302","warriors","james_michael_mcadoo",1.9,1.1,0.6,"3%"
"303","warriors","brandon_rush",2.8,2.7,0.5,"10%"
"304","warriors","marreese_speights",5.1,3.6,0.6,"6%"
"305","warriors","jason_thompson",2.4,2.2,0.4,"12%"
"306","warriors","klay_thompson",15.2,4.3,2.4,"9%"
"307","hornets","nicolas_batum",16,6.7,3.6,"12%"
"308","hornets","troy_daniels",1.8,0.8,0.3,"9%"
"309","hornets","pj_hairston",5.1,2.2,0.7,"3%"
"310","hornets","tyler_hansbrough",2,1,0,"1%"
"311","hornets","spencer_hawes",4.2,3.3,2.1,"5%"
"312","hornets","al_jefferson",12.7,6.6,1.8,"11%"
"313","hornets","frank_kaminsky",3.2,1.3,0.9,"7%"
"314","hornets","michael_kidd-gilchrist",10.9,7.6,1.4,"11%"
"315","hornets","jeremy_lamb",13.4,4.4,1,"14%"
"316","hornets","jeremy_lin",12.2,2.2,2.9,"12%"
"317","hornets","brian_roberts",2.4,0.6,0.2,"4%"
"318","hornets","kemba_walker",15,3.3,5.3,"11%"
"319","hornets","marvin_williams",10.8,7.8,1.7,"11%"
"320","hornets","cody_zeller",7.9,5.3,0.8,"10%"
"321","clippers","cole_aldrich",1.3,1.3,0,"8%"
"322","clippers","jamal_crawford",13.6,1.8,2.3,"11%"
"323","clippers","blake_griffin",26.6,9,4.3,"20%"
"324","clippers","wesley_johnson",4.9,1.8,0.2,"9%"
"325","clippers","deandre_jordan",10.1,12.9,1.1,"12%"
"326","clippers","luc_mbah_a_moute",1.1,0.8,0.1,"5%"
"327","clippers","chris_paul",15.7,3.6,8,"12%"
"328","clippers","paul_pierce",5.6,4.2,1.7,"8%"
"329","clippers","pablo_prigioni",1.2,1,1.2,"-1%"
"330","clippers","jj_redick",14.8,0.9,1.6,"9%"
"331","clippers","austin_rivers",9.1,1.5,1.1,"4%"
"332","clippers","josh_smith",4.9,3.6,1.2,"8%"
"333","clippers","lance_stephenson",5.6,3,1.9,"4%"
"334","clippers","cj_wilcox",2,0.3,0.4,"6%"
"335","heat","chris_andersen",1.5,2,0,"9%"
"336","heat","chris_bosh",19,9.7,1.7,"20%"
"337","heat","luol_deng",9.6,3.9,1.3,"8%"
"338","heat","goran_dragic",10.6,3,4,"8%"
"339","heat","gerald_green",10.3,0.7,0.3,"1%"
"340","heat","udonis_haslem",2,2,0.3,"20%"
"341","heat","tyler_johnson",8.5,3,1.9,"12%"
"342","heat","josh_mcroberts",2.6,2.7,1.9,"7%"
"343","heat","josh_richardson",3,1,0.7,"2%"
"344","heat","jarnell_stokes",0,1,0,"17%"
"345","heat","amare_stoudemire",2,3,0,"3%"
"346","heat","beno_udrih",5.4,1.3,3,"10%"
"347","heat","dwyane_wade",18,2.6,4.4,"12%"
"348","heat","hassan_whiteside",14.6,11.7,0.3,"18%"
"349","heat","justise_winslow",7.2,4.7,1.4,"7%"
"350","lakers","brandon_bass",5.1,4.9,0.8,"8%"
"351","lakers","tarik_black",4,4.8,0.2,"7%"
"352","lakers","anthony_brown",2.5,0,0,"17%"
"353","lakers","kobe_bryant",16.9,3.7,2.7,"7%"
"354","lakers","jordan_clarkson",15.1,2.6,2,"9%"
"355","lakers","roy_hibbert",8.6,6.6,1.7,"10%"
"356","lakers","marcelo_huertas",2.7,1.8,3.2,"7%"
"357","lakers","ryan_kelly",3.6,3.8,1,"8%"
"358","lakers","",NA,NA,NA,"NA%"
"359","lakers","",NA,NA,NA,"NA%"
"360","lakers","",NA,NA,NA,"NA%"
"361","lakers","",NA,NA,NA,"NA%"
"362","lakers","",NA,NA,NA,"NA%"
"363","lakers","",NA,NA,NA,"NA%"
"364","lakers","",NA,NA,NA,"NA%"
"365","magic","dewayne_dedmon",5.5,6.1,0.2,"11%"
"366","magic","evan_fournier",18.8,4.3,2.9,"10%"
"367","magic","channing_frye",7.8,4.3,0.7,"12%"
"368","magic","aaron_gordon",8.8,5.1,1.3,"12%"
"369","magic","tobias_harris",14.4,8.5,1.9,"11%"
"370","magic","mario_hezonja",5.2,1.3,0.6,"3%"
"371","magic","devyn_marble",0,0.5,0,"-11%"
"372","magic","shabazz_napier",4.5,0.8,1.4,"6%"
"373","magic","andrew_nicholson",0,0.5,0,"-19%"
"374","magic","victor_oladipo",14.7,6.9,3.9,"12%"
"375","magic","elfrid_payton",9.8,4,6,"8%"
"376","magic","jason_smith",5.7,2.3,0.3,"9%"
"377","magic","nikola_vucevic",16.5,8.4,2.4,"14%"
"378","magic","cj_watson",4.8,2,3.1,"8%"
"379","magic","",NA,NA,NA,"NA%"
"380","suns","eric_bledsoe",23.2,4.4,6.2,"17%"
"381","suns","devin_booker",4.2,0.8,0.3,"6%"
"382","suns","tyson_chandler",7.2,10.2,0.7,"11%"
"383","suns","archie_goodwin",5,2.3,0.8,"10%"
"384","suns","cory_jefferson",2,2,0,"-8%"
"385","suns","brandon_knight",19.1,3.7,3.9,"12%"
"386","suns","alex_len",5.8,5.2,0.2,"8%"
"387","suns","jon_leuer",6.9,5.4,1.2,"12%"
"388","suns","markieff_morris",13,5,1.3,"6%"
"389","suns","ronnie_price",4.3,0.8,1.4,"9%"
"390","suns","mirza_teletovic",3.4,2.1,1,"8%"
"391","suns","pj_tucker",5,4.4,1.3,"7%"
"392","suns","tj_warren",10.9,3.7,0.4,"11%"
"393","suns","sonny_weems",1.1,1.8,1,"4%"
"394","suns","",NA,NA,NA,"NA%"
"395","wizards","alan_anderson",7.4,2.8,1.1,"7%"
"396","wizards","bradley_beal",22.7,4.8,2.5,"11%"
"397","wizards","dejuan_blair",1.3,4,0,"-19%"
"398","wizards","jared_dudley",4.3,3.9,0.9,"7%"
"399","wizards","drew_gooden",3.2,5.4,0.6,"8%"
"400","wizards","marcin_gortat",10.8,7.6,1.6,"10%"
"401","wizards","kris_humphries",9.1,5,0.8,"10%"
"402","wizards","gary_neal",8.1,1.1,1.1,"6%"
"403","wizards","nene",6.9,5,2,"9%"
"404","wizards","kelly_oubre",4.4,1.2,0.4,"2%"
"405","wizards","otto_porter",12.9,5.3,2.4,"10%"
"406","wizards","ramon_sessions",8.6,2.3,2.6,"13%"
"407","wizards","garrett_temple",5.5,1.2,0.8,"10%"
"408","wizards","john_wall",17.4,3.1,8.6,"11%"
"409","wizards","martell_webster",3.3,1.4,0.5,"4%"
"410","kings","quincy_acy",2.3,1.3,0.8,"10%"
"411","kings","james_anderson",3.1,0.8,0.6,"2%"
"412","kings","marco_belinelli",12,1.5,2.9,"7%"
"413","kings","caron_butler",3.3,1.5,0.3,"7%"
"414","kings","omri_casspi",10.1,6,1.2,"11%"
"415","kings","willie_cauley-stein",5.8,6.1,0.4,"10%"
"416","kings","darren_collison",15.8,1.2,5.2,"10%"
"417","kings","demarcus_cousins",26.7,11.2,2,"16%"
"418","kings","seth_curry",3.4,0.2,1.2,"16%"
"419","kings","rudy_gay",17.2,6.3,2.7,"10%"
"420","kings","kosta_koufos",7.8,7,0.4,"8%"
"421","kings","ben_mclemore",6.1,1.5,1.1,"3%"
"422","kings","eric_moreland",0.7,1,0,"4%"
"423","kings","rajon_rondo",13.1,7.1,9.1,"12%"
